index,message,label,issue_type,details,normalized_message
5157,मुझे पता है खाते की जानकारी। मेरी माँ अब तक पहुँच के बाहर है।,0,contradictory_label_conflict,Text exists under both HAM (0) and SPAM (1) across 1506 rows,
5200,"ठीक है, मेरे प्यार! वह दिन कैसे चला जाता है? मुझे आशा है कि आप कुछ नौकरी पर ले जाता है. मुझे लगता है, लड़का है और तुम्हें समुद्र पार से एक प्यारी चुंबन भेजें.",0,contradictory_label_conflict,Text exists under both HAM (0) and SPAM (1) across 1506 rows,
5220,"हाँ, जाहिर है, लेकिन आप अंडे दे रहे हैं और सिर... जल्दी ही बोलो!",0,contradictory_label_conflict,Text exists under both HAM (0) and SPAM (1) across 1506 rows,
5263,"सुप्रभात, मेरा प्यार... मैं अब सोने के लिए जाना और आप बेहतर महसूस और अवसर से भरा एक बड़ा दिन चाहते हैं... तुम मेरी अंतिम सोचा बच्चा है, मैं तुम्हें प्यार *",0,contradictory_label_conflict,Text exists under both HAM (0) and SPAM (1) across 1506 rows,
5343,मेरे पास बहुत से निर्भर करता है,0,contradictory_label_conflict,Text exists under both HAM (0) and SPAM (1) across 1506 rows,
5361,फिर क्या कर सकते हैं लैपटॉप?,0,contradictory_label_conflict,Text exists under both HAM (0) and SPAM (1) across 1506 rows,
5421,"मैं ऊपर नहीं आ रहा हूँ, जो कुछ भी तुम चाहते हो",0,contradictory_label_conflict,Text exists under both HAM (0) and SPAM (1) across 1506 rows,
5431,मैं 2 दिन के लिए केला के लिए आ सकता है. इसलिए आप एक छुट्टी लेने के लिए तैयार किया जा सकता है एक बार मुझे यात्रा के दौरान किसी भी यात्रा की योजना. अत्यावश्‍यक कार्य खत्म करने की जरूरत है.,0,contradictory_label_conflict,Text exists under both HAM (0) and SPAM (1) across 34 rows,2
5439,"हाय, मैं चीखना चाहता हूँ. मैं अपने आप को तौला और मैं और अधिक वजन खो दिया! वू हू!",0,contradictory_label_conflict,Text exists under both HAM (0) and SPAM (1) across 1506 rows,
5461,मुझे जल्द ही ई- मेल आईडी भेजा,0,contradictory_label_conflict,Text exists under both HAM (0) and SPAM (1) across 1506 rows,
5487,तो फिर वह आज खरीदती है?,0,contradictory_label_conflict,Text exists under both HAM (0) and SPAM (1) across 1506 rows,
5573,वाट टाइम आज के आदमी?,0,contradictory_label_conflict,Text exists under both HAM (0) and SPAM (1) across 1506 rows,
5576,मैं नहीं हूँ।,0,contradictory_label_conflict,Text exists under both HAM (0) and SPAM (1) across 1506 rows,
5589,लेकिन मुझे प्यार है और व्यवस्था है.,0,contradictory_label_conflict,Text exists under both HAM (0) and SPAM (1) across 1506 rows,
