message,label,source
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",0,uci_sms_collection
Ok lar... Joking wif u oni...,0,uci_sms_collection
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,1,uci_sms_collection
U dun say so early hor... U c already then say...,0,uci_sms_collection
"Nah I don't think he goes to usf, he lives around here though",0,uci_sms_collection
"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",1,uci_sms_collection
Even my brother is not like to speak with me. They treat me like aids patent.,0,uci_sms_collection
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,uci_sms_collection
WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,1,uci_sms_collection
Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,1,uci_sms_collection
"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",0,uci_sms_collection
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",1,uci_sms_collection
"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",1,uci_sms_collection
I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,0,uci_sms_collection
I HAVE A DATE ON SUNDAY WITH WILL!!,0,uci_sms_collection
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",1,uci_sms_collection
Oh k...i'm watching here:),0,uci_sms_collection
Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,0,uci_sms_collection
Fine if thats the way u feel. Thats the way its gota b,0,uci_sms_collection
"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",1,uci_sms_collection
Is that seriously how you spell his name?,0,uci_sms_collection
I‘m going to try for 2 months ha ha only joking,0,uci_sms_collection
So ü pay first lar... Then when is da stock comin...,0,uci_sms_collection
Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,0,uci_sms_collection
Ffffffffff. Alright no way I can meet up with you sooner?,0,uci_sms_collection
Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,0,uci_sms_collection
Lol your always so convincing.,0,uci_sms_collection
Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,0,uci_sms_collection
"I'm back &amp; we're packing the car now, I'll let you know if there's room",0,uci_sms_collection
Ahhh. Work. I vaguely remember that! What does it feel like? Lol,0,uci_sms_collection
"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",0,uci_sms_collection
Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,0,uci_sms_collection
K tell me anything about you.,0,uci_sms_collection
For fear of fainting with the of all that housework you just did? Quick have a cuppa,0,uci_sms_collection
Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,1,uci_sms_collection
Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,0,uci_sms_collection
"Oops, I'll let you know when my roommate's done",0,uci_sms_collection
I see the letter B on my car,0,uci_sms_collection
Anything lor... U decide...,0,uci_sms_collection
Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,0,uci_sms_collection
Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,0,uci_sms_collection
"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",0,uci_sms_collection
07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,1,uci_sms_collection
WHO ARE YOU SEEING?,0,uci_sms_collection
Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,0,uci_sms_collection
No calls..messages..missed calls,0,uci_sms_collection
Didn't you get hep b immunisation in nigeria.,0,uci_sms_collection
"Fair enough, anything going on?",0,uci_sms_collection
"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",0,uci_sms_collection
U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,0,uci_sms_collection
What you thinked about me. First time you saw me in class.,0,uci_sms_collection
"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",0,uci_sms_collection
K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,0,uci_sms_collection
"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",0,uci_sms_collection
SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,1,uci_sms_collection
Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,0,uci_sms_collection
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",1,uci_sms_collection
"Sorry, I'll call later in meeting.",0,uci_sms_collection
Tell where you reached,0,uci_sms_collection
Yes..gauti and sehwag out of odi series.,0,uci_sms_collection
Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,0,uci_sms_collection
Ha ha ha good joke. Girls are situation seekers.,0,uci_sms_collection
Its a part of checking IQ,0,uci_sms_collection
"Sorry my roommates took forever, it ok if I come by now?",0,uci_sms_collection
Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,0,uci_sms_collection
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",1,uci_sms_collection
"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",0,uci_sms_collection
"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",1,uci_sms_collection
"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",1,uci_sms_collection
I plane to give on this month end.,0,uci_sms_collection
Wah lucky man... Then can save money... Hee...,0,uci_sms_collection
Finished class where are you.,0,uci_sms_collection
HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,0,uci_sms_collection
K..k:)where are you?how did you performed?,0,uci_sms_collection
U can call me now...,0,uci_sms_collection
I am waiting machan. Call me once you free.,0,uci_sms_collection
Thats cool. i am a gentleman and will treat you with dignity and respect.,0,uci_sms_collection
I like you peoples very much:) but am very shy pa.,0,uci_sms_collection
Does not operate after  &lt;#&gt;  or what,0,uci_sms_collection
Its not the same here. Still looking for a job. How much do Ta's earn there.,0,uci_sms_collection
"Sorry, I'll call later",0,uci_sms_collection
K. Did you call me just now ah?,0,uci_sms_collection
Ok i am on the way to home hi hi,0,uci_sms_collection
You will be in the place of that man,0,uci_sms_collection
Yup next stop.,0,uci_sms_collection
"I call you later, don't have network. If urgnt, sms me.",0,uci_sms_collection
For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,0,uci_sms_collection
Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,0,uci_sms_collection
I'm really not up to it still tonight babe,0,uci_sms_collection
"Ela kano.,il download, come wen ur free..",0,uci_sms_collection
Yeah do! Don‘t stand to close tho- you‘ll catch something!,0,uci_sms_collection
Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.,0,uci_sms_collection
Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,0,uci_sms_collection
Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,1,uci_sms_collection
Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,0,uci_sms_collection
"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",1,uci_sms_collection
Watching telugu movie..wat abt u?,0,uci_sms_collection
i see. When we finish we have loads of loans to pay,0,uci_sms_collection
"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",0,uci_sms_collection
I see a cup of coffee animation,0,uci_sms_collection
Please don't text me anymore. I have nothing else to say.,0,uci_sms_collection
Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,0,uci_sms_collection
I'm still looking for a car to buy. And have not gone 4the driving test yet.,0,uci_sms_collection
"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",0,uci_sms_collection
Umma my life and vava umma love you lot dear,0,uci_sms_collection
Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,0,uci_sms_collection
"Aight, I'll hit you up when I get some cash",0,uci_sms_collection
How would my ip address test that considering my computer isn't a minecraft server,0,uci_sms_collection
I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,0,uci_sms_collection
Dont worry. I guess he's busy.,0,uci_sms_collection
What is the plural of the noun research?,0,uci_sms_collection
Going for dinner.msg you after.,0,uci_sms_collection
I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,0,uci_sms_collection
GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,1,uci_sms_collection
"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",0,uci_sms_collection
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",0,uci_sms_collection
You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+),1,uci_sms_collection
Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!,0,uci_sms_collection
Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,0,uci_sms_collection
PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,1,uci_sms_collection
"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",1,uci_sms_collection
here is my new address -apples&pairs&all that malarky,0,uci_sms_collection
Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,1,uci_sms_collection
I am going to sao mu today. Will be done only at 12,0,uci_sms_collection
Ü predict wat time ü'll finish buying?,0,uci_sms_collection
"Good stuff, will do.",0,uci_sms_collection
"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",0,uci_sms_collection
Are you there in room.,0,uci_sms_collection
HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,0,uci_sms_collection
K..k:)how much does it cost?,0,uci_sms_collection
I'm home.,0,uci_sms_collection
"Dear, will call Tmorrow.pls accomodate.",0,uci_sms_collection
First answer my question.,0,uci_sms_collection
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,1,uci_sms_collection
Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,1,uci_sms_collection
I only haf msn. It's yijue@hotmail.com,0,uci_sms_collection
He is there. You call and meet him,0,uci_sms_collection
No no. I will check all rooms befor activities,0,uci_sms_collection
You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,1,uci_sms_collection
Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,0,uci_sms_collection
"K, text me when you're on the way",0,uci_sms_collection
"Sir, Waiting for your mail.",0,uci_sms_collection
"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",0,uci_sms_collection
I know you are. Can you pls open the back?,0,uci_sms_collection
Yes see ya not on the dot,0,uci_sms_collection
Whats the staff name who is taking class for us?,0,uci_sms_collection
"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",1,uci_sms_collection
Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,0,uci_sms_collection
K..i deleted my contact that why?,0,uci_sms_collection
Sindu got job in birla soft ..,0,uci_sms_collection
The wine is flowing and i'm i have nevering..,0,uci_sms_collection
Yup i thk cine is better cos no need 2 go down 2 plaza mah.,0,uci_sms_collection
Ok... Ur typical reply...,0,uci_sms_collection
